id,name,image_url,description
18,תבלין פוטטו,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_64.jpeg,
28,תבלין שווארמה ופרגית,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_65.jpeg,
19,תיבול על הבייגל,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_66.jpeg,
47,תערובת לציפוי שניצל אמריקאי (400 גרם),https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_67.jpeg,
49,תערובת לציפוי שניצל וינאי (400 גרם),https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_68.jpeg,
48,תערובת לציפוי שניצל מוזהב (400 גרם),https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_69.jpeg,
50,תערובת לציפוי שניצל קלאסי (400 גרם),https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_70.jpeg,
,תמונה 71,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_71.jpeg,
,תמונה 72,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_72.jpeg,
,תמונה 73,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_73.jpeg,
,תמונה 74,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_74.jpeg,
,תמונה 75,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_75.jpeg,
,תמונה 76,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_76.jpeg,
,תמונה 77,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_77.jpeg,
,תמונה 78,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_78.jpeg,
,תמונה 79,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_79.jpeg,
,תמונה 80,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_80.jpeg,
,תמונה 81,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_81.jpeg,
,תמונה 82,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_82.jpeg,
,תמונה 83,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_83.jpeg,
,תמונה 84,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_84.jpeg,
,תמונה 85,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_85.jpeg,
,תמונה 86,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_86.jpeg,
,תמונה 87,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_87.jpeg,
,תמונה 88,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_88.jpeg,
,תמונה 89,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_89.jpeg,
,תמונה 90,https://opzchmjhwzlpfwjatswb.supabase.co/storage/v1/object/public/fish-images/products/product_90.jpeg,
